R, bias, L, W, Gain
64351.6, 1.45302, 7.21368e-06, 1.20548e-06, -4.39601 
19696, 1.44331, 6.53097e-06, 2.44973e-06, -1.99838 
18666.4, 1.35815, 2.36586e-06, 8.84643e-06, 15.9085 
22745, 1.41782, 3.27595e-06, 5.76723e-06, 11.6662 
32478.4, 0.775453, 6.04631e-07, 4.84738e-06, -19.8463 
28920.2, 1.27669, 8.29534e-06, 4.6994e-06, -7.53444 
33781.9, 1.02294, 4.12199e-06, 3.05997e-06, -7.99132 
6758.55, 0.676163, 5.67934e-06, 4.56714e-06, 14.732 
74639.9, 0.824028, 1.272e-06, 6.05594e-06, 4.14289 
53104.2, 0.912541, 1.78773e-06, 8.75652e-06, 10.7077 
66800.1, 1.15058, 8.06538e-06, 8.50509e-06, 9.40006 
85331.3, 0.984699, 9.57161e-06, 8.52893e-06, -1.09245 
35125.1, 1.44847, 5.61371e-06, 2.30281e-06, -2.48835 
16743.4, 1.58345, 8.03107e-06, 3.93939e-06, -2.63325 
38007.6, 0.932129, 9.65228e-06, 6.55574e-06, -7.35736 
90770, 1.03042, 9.1216e-06, 8.90783e-06, 6.05744 
10098.8, 1.41976, 6.7811e-07, 6.23837e-06, 18.8481 
58068.9, 1.10197, 6.35663e-06, 8.81426e-06, 8.70329 
68428, 1.1157, 9.14418e-06, 2.24364e-07, 8.70329 
2657.83, 1.69649, 5.60573e-06, 3.74629e-06, 8.6589 
85919.8, 1.06386, 2.15183e-06, 9.34903e-06, 22.7983 
50859.7, 0.774546, 4.05741e-06, 8.41553e-06, -15.6668 
51973.7, 0.658077, 4.42994e-06, 2.47603e-06, 2.37371 
52057.7, 1.41567, 1.40472e-06, 3.95722e-07, -4.47611 
29034.4, 1.61617, 7.8967e-06, 4.07067e-06, 6.12606 
87225.1, 0.786923, 7.18914e-06, 6.56627e-06, -13.6866 
5256.26, 0.732161, 5.0409e-06, 9.52836e-06, 6.14999 
54476, 1.61776, 6.63977e-06, 2.54809e-06, 9.62719 
97216.5, 1.28745, 3.67186e-06, 7.94181e-06, 24.9204 
78852.8, 0.863797, 7.91837e-06, 6.19295e-06, -13.3954 
36511.5, 0.868357, 6.4206e-06, 2.21427e-06, 0.744503 
83901.3, 1.62911, 4.75735e-06, 6.26281e-07, 0.107261 
16593.9, 1.51125, 7.71212e-06, 6.7307e-06, 2.40387 
31736.9, 1.32789, 6.60511e-06, 4.11671e-07, 11.5508 
81944.9, 0.690744, 5.05101e-06, 4.008e-06, -7.46666 
55572.7, 1.27824, 2.07607e-06, 2.80977e-06, 13.251 
2521.1, 1.61444, 9.11207e-06, 9.04633e-06, 5.76336 
76413.4, 1.33822, 8.05474e-06, 9.10221e-06, 18.1011 
