R, bias, L, W, Gain [dB], UGF [Hz], PM [degrees]
44925.7,0.743031,3.40765e-07,9.59414e-06,3.16997, 5.08729e+07, 133.977
68615.2,1.07327,9.74195e-06,6.82634e-06,2.98122, 6.0142e+06, 127.177
79679.2,1.09114,7.89836e-06,6.92121e-06,error, error, error
15763.2,1.50585,5.06276e-07,1.70551e-06,error, error, error
7049.42,0.750101,8.98239e-07,1.42972e-06,error, error, error
26654.9,1.06937,3.53196e-06,8.00674e-06,error, error, error
16116.2,1.34157,4.28276e-07,4.25559e-06,error, error, error
98887.2,1.411,2.91237e-06,7.9244e-06,error, error, error
37945.7,1.4237,3.27672e-06,5.44003e-06,error, error, error
97476.6,1.28111,9.94004e-06,5.46892e-06,error, error, error
9980.75,1.63389,8.87653e-06,7.43759e-07,error, error, error
86184.3,1.59606,9.68595e-07,2.48789e-07,error, error, error
5090.35,1.17073,6.59209e-06,4.33124e-07,error, error, error
75412.2,1.64453,6.3799e-06,3.55196e-06,error, error, error
59332.2,1.15937,2.6043e-06,8.01625e-06,error, error, error
25786.1,0.623672,2.07419e-06,5.07574e-06,0.463809, 2.06796e+06, 161.753
31593,1.07177,5.86635e-06,1.89219e-06,0.932652, 2.44302e+06, 157.92
25311.4,1.54039,5.34799e-06,6.92397e-06,error, error, error
86478.5,1.51809,3.3014e-07,7.67424e-06,error, error, error
26111.9,1.58295,2.05533e-06,6.44869e-06,error, error, error
59291.9,0.922665,9.589e-06,9.10991e-06,13.8617, 1.33505e+07, 92.1275
52716.9,1.4202,4.49437e-07,3.81153e-06,error, error, error
16503.7,1.18814,7.06949e-06,2.34925e-06,error, error, error
33938.7,1.05189,4.10457e-06,2.27896e-06,5.90897, 8.06025e+06, 119.633
14760.9,0.701572,1.98466e-06,9.83774e-06,9.08689, 2.89949e+07, 109.272
95317.7,1.24521,9.04851e-06,1.51026e-06,6.63647, 3.21763e+06, 117.947
30601.5,0.613812,8.58947e-07,9.67767e-06,10.9689, 1.78592e+07, 106.403
41765.5,1.42484,1.51811e-06,5.47838e-06,error, error, error
20746.7,0.891609,4.48234e-06,4.1908e-07,error, error, error
97572.2,1.23413,2.8855e-06,8.06634e-06,error, error, error
55668.4,0.751206,7.93527e-06,1.34523e-06,error, error, error
54446.6,1.30866,1.49578e-06,7.54037e-06,error, error, error
41676.4,1.24048,9.89905e-06,1.72234e-06,error, error, error
56906.2,1.31838,7.37063e-06,3.58665e-06,error, error, error
92073.6,1.61061,4.05261e-06,5.98752e-06,error, error, error
20824.7,1.69706,1.85322e-06,5.15872e-07,error, error, error
32908.5,1.31588,8.87653e-06,3.66911e-06,6.34236, 8.94308e+06, 118.389
38220.3,1.66925,6.10645e-06,8.48748e-06,error, error, error
85150.3,0.954949,6.77494e-06,4.60449e-06,14.2073, 9.73731e+06, 98.7247
41875.1,0.915353,2.42119e-06,1.15438e-06,3.49881, 4.26656e+06, 133.511
38272.1,1.05189,4.10457e-06,3.48361e-06,10.596, 1.37925e+07, 106.586
85747.6,1.59596,4.19906e-06,8.02953e-06,error, error, error
66820.8,0.823623,2.63541e-06,7.63001e-06,5.43513, 1.7751e+07, 120.587
52690,1.66881,6.68292e-06,2.83831e-06,error, error, error
90862.7,1.2731,9.92853e-07,9.30496e-06,error, error, error
